"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-04-09,"EX",1063987,2.242,911213,2.271,211265,70900,28100,310265,29.161,2.587,0,0,0,0,32760,23000,0,55760,5.241,285234,113372,171862,26.808,91.932,2.788,16887,1.587,6.293,13903,2984,52543,4.938,42.83,2.941,199303,85931,113372,18.732,8.076,21.872,9.43,13903,2984,1.307,0.28,43343,9200,4.074,0.865,4.757,1.01,7.499,41.955,3.597,47.106,24.353,15.388,24.143,24.745
"GA",2021-04-09,"GA",2701819,5.694,2362643,5.887,532465,180300,73600,786365,29.105,6.556,0,0,0,0,105300,58400,0,163700,6.059,657774,286888,370886,24.346,83.647,6.429,33029,1.222,5.287,30431,2598,146272,5.414,16.204,8.188,472331,185443,286888,17.482,6.864,19.992,7.849,30431,2598,1.126,0.096,127307,18965,4.712,0.702,5.388,0.803,6.886,20.754,1.421,-7.253,12.908,15.139,15.859,6.024
"RI",2021-04-09,"RI",319914,0.674,270788,0.675,59735,21300,7800,88835,27.768,0.741,0,0,0,0,9360,6900,0,16260,5.083,78944,29502,49442,24.677,88.866,0.772,5570,1.741,7.591,5328,242,12258,3.832,63.702,0.686,54223,24721,29502,16.949,7.727,20.024,9.129,5328,242,1.665,0.076,10307,1951,3.222,0.61,3.806,0.72,10.897,106.595,0.989,-21.929,14.54,9.941,12.327,19.354
"MD",2021-04-09,"MD",6779888,14.288,5695623,14.193,996765,452500,136100,1585365,23.383,13.218,0,0,0,0,157950,146700,0,304650,4.493,1327764,475232,852532,19.584,83.751,12.977,40622,0.599,3.156,33062,7560,218338,3.22,12.458,12.222,901498,426266,475232,13.297,6.287,15.828,7.484,33062,7560,0.488,0.112,169177,49160,2.495,0.725,2.97,0.863,3.807,11.043,1.806,17.616,-9.176,-7.489,-11.876,-2.888
"MC",2021-04-09,"MC",1511251,3.185,1237479,3.084,228875,100800,29400,359075,23.76,2.994,0,0,0,0,31590,32700,0,64290,4.254,278267,80787,197480,18.413,77.496,2.72,8155,0.54,3.019,3922,4233,26865,1.778,13.417,1.504,179527,98740,80787,11.879,6.534,14.507,7.979,3922,4233,0.26,0.28,17330,9535,1.147,0.631,1.4,0.771,2.233,1.12,4.479,45.595,-14.6,-5.997,-21.274,0.927
"NC",2021-04-09,"NC",661197,1.393,552935,1.378,113055,44100,15400,172555,26.097,1.439,0,0,0,0,17550,14300,0,31850,4.817,146068,53338,92730,22.091,84.65,1.428,4943,0.748,3.503,4075,868,24679,3.732,25.046,1.381,99703,46365,53338,15.079,7.012,18.032,8.385,4075,868,0.616,0.131,17952,6727,2.715,1.017,3.247,1.217,4.261,29.365,1.908,14.815,2.513,3.302,-0.066,8.31
"PV",2021-04-09,"PV",2220504,4.68,1898123,4.73,384750,148200,52900,585850,26.384,4.885,0,0,0,0,70200,48000,0,118200,5.323,478177,220491,257686,21.535,81.621,4.673,17675,0.796,3.838,13290,4385,107206,4.828,19.742,6.001,349334,128843,220491,15.732,5.802,18.404,6.788,13290,4385,0.599,0.197,83897,23309,3.778,1.05,4.42,1.228,3.955,18.822,3.523,23.172,-0.15,4.38,4.261,-10.38
"CE",2021-04-09,"CE",84202,0.177,66158,0.165,9000,5800,1300,16100,19.121,0.134,0,0,0,0,1170,1900,0,3070,3.646,15477,8195,7282,18.381,96.13,0.151,344,0.409,2.273,343,1,4251,5.049,8.805,0.238,11836,3641,8195,14.057,4.324,17.891,5.503,343,1,0.407,0.001,4211,40,5.001,0.048,6.365,0.06,2.984,8.868,0.027,2.564,-14.689,-24.294,-6.839,-33.21
"ML",2021-04-09,"ML",87076,0.184,66178,0.165,9000,5800,1200,16000,18.375,0.133,0,0,0,0,1170,1900,0,3070,3.526,13077,7209,5868,15.018,81.731,0.128,480,0.551,3.81,183,297,2664,3.059,21.978,0.149,10143,2934,7209,11.648,3.369,15.327,4.433,183,297,0.21,0.341,2153,511,2.473,0.587,3.253,0.772,1.837,9.289,11.263,138.785,-30.435,-27.717,-22.805,-47.961
"FFAA",2021-04-09,"FFAA",NA,NA,NA,NA,19500,66100,0,85600,NA,0.714,0,0,0,0,0,30000,0,30000,NA,65711,55119,10592,NA,76.765,0.642,3415,NA,5.482,3373,42,24965,NA,12.47,1.397,60415,5296,55119,NA,NA,NA,NA,3373,42,NA,NA,24661,304,NA,NA,NA,NA,5.913,12.433,0.799,15.589,NA,NA,NA,NA
"ES",2021-04-09,"ES",47450795,100,40129822,100,7717515,3232200,1044000,11993715,25.276,100,0,0,0,0,1247220,1056500,0,2303720,4.855,10231825,4087607,6144218,21.563,85.31,100,420296,0.886,4.284,368637,51659,1786449,3.765,21.579,100,7159716,3072109,4087607,15.089,6.474,17.841,7.655,368637,51659,0.777,0.109,1533421,253027,3.232,0.533,3.821,0.631,5.428,23.074,1.71,13.244,0,0,0,0
